producer,consumer, energy
126,1,1.261404
126,2,21.9353
126,3,0.193461
126,4,12.3441
126,5,12.2967
126,6,0.389479
126,7,0.010475
126,8,10.5
126,9,180
126,10,22
126,11,15
126,12,72
126,13,75
126,14,116
126,22,0.048429
126,52,0.000664
126,123,3
126,125,6
9,127,1.3
10,127,0.13
11,127,7
13,127,1.8
45,127,0.2477485
47,127,0.002981023
51,127,0.01095201
52,127,1.03E-07
53,127,0.000518828
54,127,0.004259183
55,127,5.50E-06
56,127,0.00032027
60,127,8.63E-07
61,127,2.85E-06
63,127,1.40E-06
65,127,0.000589438
66,127,2.71E-07
70,127,5.44E-05
76,127,4.40E-05
77,127,0.000223572
78,127,0.000197275
79,127,0.000335675
80,127,0.000201311
81,127,1.01E-07
82,127,0.005922525
83,127,0.000112024
84,127,8.62E-07
85,127,0.003509126
86,127,0.000800555
87,127,0.000879863
88,127,1.97E-05
89,127,1.28E-07
90,127,6.17E-05
91,127,1.47E-05
92,127,0.004000669
96,127,3.05E-06
97,127,3.85E-08
98,127,0.007898174
99,127,1.91E-05
100,127,1.63E-08
15,128,93.61713
16,128,50.5165
17,128,5.629564
18,128,0.416118
19,128,2.012417
20,128,0.9496036
21,128,2.820862
22,128,0.5825159
23,128,1.808016
24,128,35.38025
25,128,4.11128
26,128,9.606857
27,128,0.2160327
28,128,0.01390549
29,128,0.01749315
30,128,0.7531382
31,128,0.80753
32,128,0.2280016
33,128,0.02755954
34,128,0.02888223
35,128,0.9818583
36,128,0.8569636
37,128,0.4491814
38,128,0.682153
39,128,0.05517269
40,128,0.134433
41,128,0.1569536
42,128,0.4443477
43,128,0.9909184
44,128,0.4765046
45,128,0.9172407
46,128,0.04179814
47,128,0.05627013
48,128,0.02420889
49,128,0.2414584
50,128,0.007417527
51,128,0.04086668
52,128,0.00190285
53,128,5.09E-05
54,128,0.01656258
55,128,0.000920134
56,128,0.001248387
57,128,0.01172158
58,128,0.000280109
59,128,0.1376741
60,128,0.001419308
61,128,0.005374257
62,128,0.01251804
63,128,0.006575366
64,128,0.001490723
65,128,0.009174979
66,128,0.00627706
67,128,0.002307318
68,128,0.05909975
69,128,0.008984197
70,128,0.000186002
71,128,0.001470965
72,128,0.004340853
73,128,0.003516664
74,128,0.006688935
75,128,0.002437708
76,128,2.82E-05
77,128,0.000318137
78,128,0.00047218
79,128,0.002163411
80,128,0.001438076
81,128,0.006293923
82,128,0.01267223
83,128,0.000492907
84,128,0.0357964
85,128,0.01522767
86,128,0.002803472
87,128,9.63E-05
88,128,0.01755993
89,128,0.001085012
90,128,1.33E-05
91,128,0.01541484
92,128,0.01087546
93,128,0.003972482
94,128,0.04602745
95,128,0.002306108
96,128,0.005347004
97,128,0.01759573
98,128,0.0446004
99,128,0.000310473
100,128,0.008327987
101,128,2.43E-05
102,128,0.000449724
103,128,0.05937275
104,128,0.01047434
105,128,0.02257607
106,128,0.01450305
107,128,0.006869919
108,128,0.00822995
109,128,0.005195693
110,128,0.01056861
111,128,0.001044079
112,128,0.001226695
113,128,0.007384796
114,128,0.002260204
115,128,0.006878421
116,128,8.24E-05
117,128,0.001491191
118,128,0.000672105
119,128,0.000331807
120,128,2.36E-06
121,128,0.004324266
122,128,0.003529095
123,128,3.572388
124,128,317.0636
1,16,0.555688
1,17,0.04029807
1,18,0.01889703
1,19,0.09212516
1,20,0.04375207
1,21,0.1963723
1,23,0.08641115
1,27,0.008950015
1,30,0.003420006
1,31,0.0599401
1,37,0.03227706
1,67,4.70E-05
1,69,0.000292001
1,71,1.19E-05
1,125,0.1229222
2,16,9.663189
2,17,0.7007607
2,18,0.3286118
2,19,1.602014
2,20,0.7608389
2,21,3.414843
2,23,1.502649
2,27,0.1533924
2,30,0.03842609
2,31,0.401662
2,32,0.1101683
2,35,0.3000637
2,37,0.2174795
2,38,0.0807962
2,39,0.006175016
2,40,0.01839004
2,45,0.1039583
2,48,0.004321011
2,71,0.000393001
2,84,0.007611019
2,89,0.000112
2,91,0.004809012
2,125,2.51464
3,18,0.003189014
3,19,0.01554807
3,20,0.007384032
3,23,0.01458406
3,30,6.19E-05
3,71,2.51E-06
3,84,9.73E-06
3,89,8.56E-07
3,91,6.15E-06
3,125,0.1526747
4,16,5.437962
4,17,0.3943529
4,18,0.1849264
4,19,0.9015341
4,20,0.428162
4,21,1.921705
4,23,0.845616
4,27,0.08084419
4,28,0.001746004
4,31,0.2291795
4,37,0.1240743
4,125,1.793997
5,17,0.3928385
5,18,0.1842162
5,19,0.8980711
5,20,0.4265175
5,23,0.8423679
5,27,0.04453605
5,28,0.002646003
5,31,0.1291271
5,37,0.06989308
5,45,0.0913661
5,67,7.12E-05
5,69,0.000443001
5,71,1.80E-05
5,125,9.214587
6,17,0.01244305
6,18,0.005835021
6,19,0.0284451
6,20,0.01350905
6,22,0.0278671
6,23,0.0266811
6,27,0.003394012
6,31,0.01474605
6,37,0.007958028
6,67,8.27E-05
6,69,0.000514002
6,71,2.09E-05
6,125,0.2479829
7,17,0.000334976
7,18,0.000156989
7,19,0.000764946
7,20,0.000362974
7,23,0.000717949
7,27,3.81E-05
7,30,1.11E-05
7,31,0.000116992
7,37,6.32E-05
7,67,1.79E-06
7,69,1.11E-05
7,71,4.51E-07
7,125,0.007894441
8,24,1.381068
8,25,0.1599195
8,26,0.3963813
8,30,0.006233769
8,32,0.09361342
8,35,0.2433837
8,36,0.01582881
8,38,0.2620186
8,39,0.03753441
8,40,0.1117772
8,41,0.1842236
8,43,0.2163368
8,45,0.01687383
8,48,0.02241853
8,71,0.00031859
8,100,1.36E-05
8,124,7.352057
9,41,0.049499
9,42,0.304268
9,44,0.006749
9,45,0.233306
9,49,0.147517
9,65,0.006391
9,84,0.004261
9,100,0.001921
9,109,0.001772
9,110,0.001688
9,119,0.000958
9,122,0.002008
9,123,53.3819
9,124,71.17586
9,125,53.3819
10,41,0.005625
10,42,0.034576
10,44,0.000767
10,45,0.026512
10,49,0.016763
10,65,0.000726
10,84,0.000484
10,100,0.000218
10,109,0.000773
10,110,0.000737
10,122,0.000438
10,123,6.534715
10,124,8.712953
10,125,6.534715
11,41,0.00405
11,42,0.024895
11,44,0.000552
11,45,0.019089
11,49,0.01207
11,65,0.000523
11,84,0.000349
11,100,0.000157
11,109,0.00043
11,110,0.000409
11,122,0.000487
11,123,2.381097
11,124,3.174796
11,125,2.381097
12,124,72
13,71,0.000424
13,84,0.016419
13,89,0.000289
13,91,0.005187
13,100,0.000181
13,123,21.95325
13,124,29.271
13,125,21.95325
14,30,0.6006482
14,33,0.04620526
14,41,0.1775115
14,42,0.3637164
14,43,1.87609
14,44,0.04840712
14,45,0.1202118
14,46,0.06717901
14,49,0.02204269
14,65,0.007308566
14,71,0.002048878
14,83,5.82E-05
14,84,0.002904827
14,89,0.001046938
14,91,0.007516554
14,100,0.001309922
14,109,0.002469853
14,110,0.00235286
14,119,0.00066796
14,122,0.001398917
14,123,33.79467
14,124,45.05956
14,125,33.79467
15,16,12.90289
15,17,1.349704
15,18,0.238394
15,19,1.162194
15,20,0.5519566
15,21,1.817246
15,23,1.090109
15,27,0.03004161
15,31,0.2252212
15,123,25.11544
16,17,4.588644
16,18,0.4007046
16,19,1.95347
16,20,0.9277542
16,21,3.295022
16,23,1.832305
16,27,0.03281777
16,31,0.0828484
16,37,0.1163758
16,123,48.92028
17,18,0.03377511
17,19,0.1646585
17,20,0.07820085
17,23,0.1544445
17,27,0.001976271
17,31,0.004988492
17,37,0.007006201
17,123,5.458323
18,22,0.07303697
18,28,0.001980442
18,29,0.00191728
18,30,0.000287286
18,45,0.01155462
18,57,0.000448248
18,58,1.40E-05
18,59,0.01094235
18,65,0.000136512
18,66,0.00021088
18,67,5.33E-05
18,68,0.001178689
18,69,0.000497148
18,72,0.000954565
18,73,0.000234312
18,74,0.000475754
18,75,0.001289733
18,77,1.65E-05
18,78,1.44E-05
18,81,0.000126325
18,82,0.001115527
18,85,0.000293399
18,86,0.000123268
18,94,0.000510392
18,95,5.22E-05
18,96,7.07E-05
18,99,6.08E-06
18,123,0.9484801
19,22,0.3447542
19,28,0.00726408
19,29,0.009040803
19,30,0.001353839
19,45,0.05448313
19,57,0.002117465
19,58,6.57E-05
19,59,0.05163044
19,65,1.13E-05
19,66,0.000965434
19,67,0.0002515
19,68,0.005562401
19,69,0.002343611
19,72,0.004502655
19,73,0.001104367
19,74,0.001532322
19,75,0.000379278
19,77,5.29E-05
19,78,6.77E-05
19,81,0.000594269
19,82,0.005260196
19,85,0.001384262
19,86,0.000580072
19,94,0.0024075
19,95,0.000246429
19,96,0.000333643
19,99,1.96E-05
19,123,4.66609
20,22,0.0061082
20,28,0.000164538
20,29,0.000159459
20,30,2.39E-05
20,45,0.000959802
20,57,3.73E-05
20,58,1.16E-06
20,59,0.000910035
20,65,0.000471268
20,66,0.000462127
20,67,4.43E-06
20,68,9.80E-05
20,69,4.13E-05
20,72,7.93E-05
20,73,1.95E-05
20,74,2.70E-05
20,75,6.68E-06
20,77,9.33E-07
20,78,1.19E-06
20,81,1.05E-05
20,82,9.27E-05
20,85,2.44E-05
20,86,1.03E-05
20,94,4.25E-05
20,95,4.34E-06
20,96,5.88E-06
20,99,3.45E-07
20,123,2.449087
21,22,0.2683339
21,28,0.006469587
21,29,0.000116298
21,30,0.001055292
21,45,0.04245828
21,57,0.001649702
21,58,5.13E-05
21,59,0.04023571
21,65,0.000445807
21,66,0.000891614
21,67,0.000195983
21,68,0.004335312
21,69,0.001826302
21,72,0.004048876
21,73,0.000430732
21,74,0.001194203
21,75,0.000147526
21,77,4.12E-05
21,78,5.28E-05
21,81,0.000463036
21,82,0.002141812
21,85,0.001077906
21,86,0.000451191
21,94,0.001876912
21,95,0.000191676
21,96,0.000260593
21,99,1.53E-05
21,123,8.003636
22,29,0.005769383
22,57,6.67E-05
22,58,5.00E-05
22,59,0.02095257
22,65,6.48E-06
22,66,1.59E-05
22,67,3.14E-06
22,68,0.01477675
22,69,1.95E-05
22,70,1.62E-05
22,72,0.001567405
22,96,1.25E-05
22,99,3.40E-08
22,123,0.3916948
23,22,0.2388208
23,28,0.002148907
23,29,0.004321358
23,30,0.000841156
23,37,0.009239872
23,45,0.000338175
23,57,0.001195383
23,58,4.09E-05
23,59,0.0320795
23,65,0.000398104
23,66,0.000757682
23,67,0.000156245
23,68,0.003456658
23,69,0.000647455
23,72,0.002152117
23,73,0.000343526
23,74,0.001068032
23,75,0.000117719
23,96,0.000207614
23,123,4.625324
24,25,4.149095
24,26,10.66494
24,32,0.003924961
24,35,0.001181676
24,36,0.01426687
24,37,0.008346525
24,38,0.03778473
24,39,0.08251093
24,40,0.2320643
24,91,0.002304518
24,124,34.34194
25,26,1.122645
25,32,0.000254727
25,35,0.392813
25,36,0.000927793
25,37,0.000617222
25,38,0.002456153
25,39,0.005363955
25,40,0.01597332
25,91,0.000149897
25,124,4.050062
26,30,0.0264936
26,32,0.004339416
26,36,0.63099
26,38,0.3446744
26,44,0.01668855
26,45,0.3078131
26,47,0.04410568
26,48,0.001787062
26,58,1.48E-05
26,82,0.005415997
26,85,0.003889548
26,89,0.00108382
26,91,0.007781165
26,96,0.002669217
26,100,0.007218571
26,124,27.52173
27,30,0.1542531
27,57,0.002052329
27,81,0.001683416
27,83,9.34E-06
27,84,0.006519819
27,89,0.000471276
27,97,0.005229638
27,100,0.000593909
27,118,0.000108444
27,120,8.10E-06
27,122,7.72E-05
27,123,0.07693244
28,88,0.000373443
28,89,1.41E-05
28,97,0.0001563
28,124,0.007970271
29,30,0.050074
29,81,4.39E-05
29,84,0.00401979
29,88,0.004077928
29,97,0.001708826
29,118,5.27E-05
29,120,6.00E-08
29,124,0.01329375
30,36,0.05003602
30,47,0.005877969
30,61,0.003814868
30,89,0.000129386
30,97,0.01799781
30,98,0.00241487
30,100,0.002379491
30,102,8.46E-06
30,118,0.000128375
30,120,1.46E-07
30,122,0.000145559
30,124,0.2448328
31,30,0.06405088
31,34,0.0125534
31,36,0.0379689
31,44,0.063504
31,49,0.02478584
31,50,0.00124706
31,51,0.007697021
31,52,0.000333231
31,53,0.000242257
31,54,0.03032401
31,56,0.000892364
31,57,0.002281507
31,58,2.52E-05
31,61,0.000305632
31,67,0.001328835
31,68,0.008909328
31,69,0.008260244
31,78,0.000716549
31,81,0.002504343
31,82,0.003877132
31,83,0.000267811
31,84,0.000386384
31,85,0.0016406
31,87,4.12E-05
31,89,4.57E-05
31,97,0.000113462
31,98,0.02308697
31,100,1.37E-05
31,102,1.04E-05
31,105,0.000513135
31,106,0.000331187
31,107,0.000253501
31,108,0.00017786
31,109,0.000310743
31,110,0.001310436
31,111,2.16E-05
31,113,0.000535623
31,114,0.000181948
31,115,0.000426249
31,118,0.000421139
31,120,4.79E-07
31,121,6.88E-05
31,122,0.000178882
31,124,0.3838443
32,30,0.003712812
32,34,0.0213942
32,44,0.03339564
32,47,0.006017279
32,52,1.94E-05
32,53,1.52E-05
32,54,0.00176224
32,56,5.18E-05
32,57,0.004552023
32,58,4.72E-05
32,61,0.000124174
32,67,0.000154183
32,68,0.0126844
32,69,0.001055481
32,74,0.000375627
32,78,4.16E-05
32,81,0.000352862
32,82,0.000225583
32,83,1.55E-05
32,84,0.000299053
32,87,2.39E-05
32,97,0.000735733
32,98,0.009097837
32,100,8.85E-05
32,105,0.000328027
32,106,0.000211096
32,107,0.000162461
32,108,0.000113826
32,109,0.000198679
32,110,0.000838177
32,111,1.38E-05
32,113,0.000342514
32,114,0.000115896
32,115,0.000272149
32,118,8.07E-05
32,120,9.18E-08
32,122,1.15E-05
32,124,0.07500438
33,52,2.46E-06
33,53,1.76E-06
33,54,0.000223146
33,56,6.58E-06
33,57,0.000525109
33,58,5.99E-06
33,61,4.27E-05
33,68,0.001610131
33,81,4.47E-05
33,82,2.86E-05
33,83,1.98E-06
33,84,3.79E-05
33,87,1.51E-05
33,97,9.30E-05
33,98,0.001282577
33,100,1.13E-05
33,107,2.28E-05
33,109,2.79E-05
33,110,0.000117715
33,113,4.83E-05
33,114,1.64E-05
33,115,3.84E-05
33,118,1.14E-05
33,124,0.01442976
34,52,2.47E-06
34,53,2.07E-06
34,54,0.000225507
34,56,6.64E-06
34,57,0.000583282
34,58,6.05E-06
34,61,4.30E-05
34,78,5.32E-06
34,81,4.52E-05
34,82,2.88E-05
34,83,1.99E-06
34,84,3.83E-05
34,87,1.53E-05
34,97,0.000770843
34,98,0.00116548
34,100,1.14E-05
34,109,2.54E-05
34,110,0.000107333
34,113,4.39E-05
34,114,1.49E-05
34,115,3.49E-05
34,118,1.03E-05
34,124,0.0111344
35,36,0.1228382
35,44,0.0812204
35,49,0.01168215
35,54,0.009535977
35,56,0.000280855
35,61,0.001940817
35,62,2.61E-05
35,68,0.002846801
35,78,0.000225489
35,81,0.005510391
35,82,0.007224713
35,83,0.000113751
35,84,0.00802198
35,85,0.002273011
35,89,1.44E-05
35,94,0.008007885
35,95,0.000818405
35,96,0.000721767
35,97,0.00398532
35,98,0.00109322
35,100,0.000479164
35,105,0.000355347
35,106,0.000228509
35,107,0.000175157
35,108,0.000122811
35,109,5.37E-05
35,110,0.000452992
35,111,7.48E-06
35,113,0.000370447
35,114,0.000209383
35,115,0.000491244
35,118,0.000145964
35,120,1.66E-07
35,122,6.19E-05
35,124,0.6525033
36,44,0.1632525
36,49,0.009600743
36,54,0.007836944
36,56,0.000230949
36,61,0.001143505
36,62,2.15E-05
36,68,0.002339127
36,78,0.000184964
36,81,0.004528035
36,82,0.005937234
36,83,9.31E-05
36,84,0.006592271
36,85,0.001868032
36,89,1.19E-05
36,94,0.006581031
36,95,0.000673432
36,96,0.000614161
36,97,0.003275187
36,98,0.000998396
36,100,0.000393431
36,102,1.65E-05
36,105,0.000323942
36,106,0.000209489
36,107,0.000160438
36,108,0.000112409
36,109,4.91E-05
36,110,0.000413869
36,111,6.83E-06
36,113,0.000338249
36,114,0.000191095
36,115,0.000448614
36,118,0.000132847
36,120,1.51E-07
36,122,5.65E-05
36,124,0.2607355
37,36,0.1407042
37,49,0.01283639
37,54,0.00493214
37,56,0.000145299
37,61,0.00104114
37,62,1.35E-05
37,68,0.001472026
37,69,0.001102266
37,78,0.000116239
37,81,0.002849858
37,82,0.003735679
37,83,5.85E-05
37,84,0.004148528
37,85,0.001175416
37,89,7.43E-06
37,94,0.004141514
37,95,0.000423871
37,96,0.000371764
37,97,0.00204821
37,98,0.000628292
37,100,0.000246507
37,102,8.49E-06
37,105,0.000167344
37,106,0.00010722
37,107,8.25E-05
37,108,5.77E-05
37,109,2.53E-05
37,110,0.000213439
37,111,3.52E-06
37,113,0.000174358
37,114,9.85E-05
37,115,0.000231476
37,118,6.84E-05
37,120,7.79E-08
37,122,2.92E-05
37,124,0.1418817
38,36,0.06249325
38,45,0.004827263
38,47,0.006916722
38,54,0.002253338
38,56,6.63E-05
38,57,0.003479358
38,58,2.35E-07
38,61,0.007330517
38,67,0.000197679
38,68,0.01203077
38,69,0.000221237
38,78,5.33E-05
38,81,0.000245819
38,82,8.48E-05
38,84,0.02801923
38,85,0.000121885
38,88,0.002247192
38,89,1.70E-05
38,91,0.000121885
38,96,0.000208946
38,98,0.002676351
38,100,0.000113691
38,105,0.00041994
38,106,0.000270401
38,107,0.000206897
38,108,0.000145443
38,113,0.000438377
38,114,0.000148515
38,115,0.000348243
38,122,1.46E-05
38,124,0.217231
39,29,0.000792504
39,30,9.37E-05
39,36,0.01596837
39,45,0.0006585
39,47,0.001038525
39,49,0.02456552
39,54,0.005983035
39,56,9.01E-06
39,57,0.000375837
39,58,3.79E-06
39,61,0.004190742
39,67,2.69E-05
39,68,0.008519675
39,69,3.00E-05
39,70,6.45E-07
39,73,5.91E-05
39,74,0.000918132
39,75,2.03E-05
39,78,7.26E-06
39,81,0.002817209
39,82,0.000321398
39,83,6.90E-06
39,84,0.002701003
39,85,1.82E-05
39,87,0.000879396
39,88,0.000306742
39,91,1.74E-05
39,93,0.000288945
39,94,0.01659651
39,95,0.000316164
39,96,5.97E-05
39,98,0.003074746
39,100,1.61E-05
39,124,0.03047736
40,29,0.006559315
40,30,0.000776114
40,36,0.01595427
40,44,0.1021155
40,47,0.00754044
40,49,0.0215743
40,52,0.001421481
40,57,0.001712263
40,58,1.67E-05
40,59,0.005023823
40,62,3.00E-05
40,66,0.002057435
40,67,0.000290781
40,68,0.002501974
40,69,0.001808492
40,70,6.97E-06
40,72,0.000244758
40,73,0.003606525
40,74,0.002894216
40,75,0.001238436
40,81,0.000597252
40,82,0.0023524
40,83,5.04E-05
40,84,0.01575449
40,85,0.000960206
40,86,0.000342034
40,87,0.000110873
40,88,0.002449675
40,91,0.000132839
40,93,0.002209101
40,94,0.02138079
40,95,0.00218609
40,96,0.000456046
40,98,0.00138801
40,100,0.000123425
40,122,1.44E-05
40,124,0.134341
41,29,0.007255004
41,30,0.000857961
41,36,0.04352584
41,44,0.07597665
41,47,0.008340011
41,49,0.02385865
41,57,0.001893793
41,58,1.85E-05
41,59,0.005555823
41,62,3.33E-05
41,66,0.004501158
41,67,0.00047711
41,68,0.004104612
41,69,0.003626456
41,70,1.14E-05
41,72,0.00027099
41,73,0.005244027
41,74,0.004208195
41,75,0.001800672
41,81,0.000661258
41,82,0.002602134
41,83,5.58E-05
41,84,0.01742603
41,85,0.001061989
41,86,0.000378759
41,87,0.000123463
41,88,0.002709902
41,91,0.000147528
41,93,0.002443097
41,94,0.02364834
41,95,0.002417986
41,96,0.000504314
41,98,0.00153596
41,100,0.000136018
41,122,1.95E-05
41,124,0.1485916
42,29,0.01622049
42,30,0.00182673
42,36,0.0610384
42,47,0.0177601
42,56,0.000170068
42,57,0.003774509
42,58,3.84E-06
42,59,0.01183173
42,67,0.000507203
42,69,0.000594238
42,70,1.21E-05
42,72,0.000634254
42,73,5.38E-05
42,74,0.000929372
42,75,1.85E-05
42,78,0.000137055
42,79,0.00172569
42,81,0.002036814
42,82,0.005540215
42,83,0.000119048
42,84,0.000677271
42,85,0.002261905
42,87,0.000131052
42,88,0.005770307
42,91,0.000313125
42,93,0.00260104
42,96,0.000537215
42,100,0.000291116
42,122,3.73E-05
42,124,0.1455532
43,29,0.02562061
43,44,0.1720592
43,50,0.000225437
43,51,0.001390195
43,56,0.000245747
43,57,0.002114233
43,58,0.000118811
43,59,0.01345311
43,60,0.001711087
43,61,0.000130997
43,62,0.000944398
43,63,0.004503662
43,64,0.001671483
43,66,0.005688729
43,67,0.000731147
43,68,0.02067623
43,69,0.000857067
43,70,3.83E-05
43,72,0.000130997
43,73,0.000320892
43,74,0.001976128
43,75,0.000110688
43,76,2.38E-05
43,77,0.000205127
43,78,0.000197004
43,79,0.00119116
43,80,0.000923073
43,81,0.000462044
43,82,0.002197503
43,83,7.29E-05
43,84,6.85E-05
43,85,0.007375445
43,86,0.002101032
43,87,0.000283319
43,88,0.004160429
43,93,0.000688497
43,96,0.000844881
43,98,0.001535409
43,99,7.60E-05
43,100,0.000419394
43,101,1.17E-06
43,102,1.57E-05
43,103,0.001877626
43,104,0.000332063
43,105,0.001544548
43,106,0.000995172
43,107,0.000762627
43,108,0.000534144
43,109,0.000467122
43,110,0.001972066
43,111,3.25E-05
43,113,0.00161157
43,114,0.000546329
43,115,0.001281538
43,116,6.24E-06
43,117,0.000413301
43,118,0.000759581
43,120,8.64E-07
43,121,2.07E-05
43,122,5.38E-05
43,123,0.8107354
44,29,0.0118653
