node_id,name,group
1,2um Spherical Phytoplankt,
2,Synedococcus,
3,Oscillatoria,
4,Small Diatoms (<20um),
5,Big Diatoms (>20um),
6,Dinoflagellates,
7,Other Phytoplankton,
8,Benthic Phytoplankton,Demersal Producer
9,Thalassia,Seagrass Producer
10,Halodule,Seagrass Producer
11,Syringodium,Seagrass Producer
12,Roots,
13,Drift Algae,Algae Producer
14,Epiphytes,Algae Producer
15,Free Bacteria,Microbial Microfauna
16,Water Flagellates,Microbial Microfauna
17,Water Cilitaes,Microbial Microfauna
18,Acartia Tonsa,Zooplankton Microfauna
19,Oithona nana,Zooplankton Microfauna
20,Paracalanus,Zooplankton Microfauna
21,Other Copepoda,Zooplankton Microfauna
22,Meroplankton,Zooplankton Microfauna
23,Other Zooplankton,Zooplankton Microfauna
24,Benthic Flagellates,Sediment Organism Microfauna
25,Benthic Ciliates,Sediment Organism Microfauna
26,Meiofauna,Sediment Organism Microfauna
27,Sponges,Macroinvertebrates
28,Coral,
29,Other Cnidaridae,Macroinvertebrates
30,Echinoderma,Macroinvertebrates
31,Bivalves,Macroinvertebrates
32,Detritivorous Gastropods,Macroinvertebrates
33,Epiphytic Gastropods,
34,Predatory Gastropods,Macroinvertebrates
35,Detritivorous Polychaetes,Macroinvertebrates
36,Predatory Polychaetes,Macroinvertebrates
37,Suspension Feeding Polych,Macroinvertebrates
38,Macrobenthos,Macroinvertebrates
39,Benthic Crustaceans,Macroinvertebrates
40,Detritivorous Amphipods,Macroinvertebrates
41,Herbivorous Amphipods,Macroinvertebrates
42,Isopods,Macroinvertebrates
43,Herbivorous Shrimp,Macroinvertebrates
44,Predatory Shrimp,Macroinvertebrates
45,Pink Shrimp,Macroinvertebrates
46,Thor Floridanus,
47,Lobster,
48,Detritivorous Crabs,Macroinvertebrates
49,Omnivorous Crabs,Macroinvertebrates
50,Predatory Crabs,Macroinvertebrates
51,Callinectus sapidus,Macroinvertebrates
52,Stone Crab,
53,Sharks,
54,Rays,
55,Tarpon,
56,Bonefish,
57,Sardines,Pelagic Fishes
58,Anchovy,Pelagic Fishes
59,Bay Anchovy,Pelagic Fishes
60,Lizardfish,Benthic Fishes
61,Catfish,Benthic Fishes
62,Eels,Demersal Fishes
63,Toadfish,Benthic Fishes
64,Brotalus,Demersal Fishes
65,Halfbeaks,Pelagic Fishes
66,Needlefish,Pelagic Fishes
67,Other Killifish,
68,Goldspotted killifish,Demersal Fishes
69,Rainwater killifish,Demersal Fishes
70,Snook,
71,Sailfin Molly,
72,Silverside,Pelagic Fishes
73,Other Horsefish,
74,Gulf Pipefish,
75,Dwarf Seahorse,
76,Grouper,
77,Jacks,
78,Pompano,
79,Other Snapper,
80,Gray Snapper,
81,Mojarra,
82,Grunt,
83,Porgy,
84,Pinfish,
85,Scianids,
86,Spotted Seatrout,
87,Red Drum,
88,Spadefish,
89,Parrotfish,
90,Mackerel,
91,Mullet,Pelagic Fishes
92,Barracuda,
93,Blennies,Benthic Fishes
94,Code Goby,Benthic Fishes
95,Clown Goby,Benthic Fishes
96,Flatfish,Benthic Fishes
97,Filefishes,
98,Puffer,
99,Other Pelagic Fishes,Pelagic Fishes
100,Other Demersal Fishes,Demersal Fishes
101,Loon,
102,Greeb,
103,Pelican,
104,Comorant,
105,Big Herons & Egrets,
106,Small Herons & Egrets,
107,Ibis,
108,Roseate Spoonbill,
109,Herbivorous Ducks,
110,Omnivorous Ducks,
111,Predatory Ducks,
112,Raptors,
113,Gruiformes,
114,Small Shorebirds,
115,Gulls & Terns,
116,Kingfisher,
117,Crocodiles,
118,Loggerhead Turtle,
119,Green Turtle,
120,Hawksbill Turtle,
121,Dolphin,
122,Manatee,
123,Water POC,Detritus
124,Benthic POC,Detritus
125,DOC,
126,Input,Detritus
127,Output,
128,Respiration,